product_name,price_sale,price,percent_discount,promotion,screen_size,ram,rom,rating_count,rate_average,outstanding_feature
iPhone 13 256GB | Chính hãng VN/A,17.490.000đ,20.290.000đ,Giảm 14%,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng,6.1 inches,4 GB,256 GB,1,5/5," Hiệu năng vượt trội - Chip Apple A15 Bionic mạnh mẽ, hỗ trợ mạng 5G tốc độ cao |  Không gian hiển thị sống động - Màn hình 6.1"" Super Retina XDR độ sáng cao, sắc nét |  Trải nghiệm điện ảnh đỉnh cao - Camera kép 12MP, hỗ trợ ổn định hình ảnh quang học |  Tối ưu điện năng - Sạc nhanh 20 W, đầy 50% pin trong khoảng 30 phút"
Xiaomi POCO M5 (6GB 128GB),2.990.000đ,4.690.000đ,Giảm 36%,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng,6.58 inches,6 GB,128 GB,11,5/5," Hiệu năng bượt trội - Bộ vi xử lý Helio G99 đầy mạnh mẽ, RAM 6GB giúp máy ổn định chiến game |  Sắc nét đến từng chi tiết - Màn hình 6.58 inch Full HD+ hỗ trợ 90 Hz mượt mà |  Kiến tạo những thước phim sống động - Bộ ba camera AI độ phân giải lên đến 50 MP |  Năng lượng vượt trội, chiến game cả ngày - Dung lượng 5000 mAh cùng khả năng sạc nhanh 18 W"
Samsung Galaxy A35 5G 8GB 128GB,7.650.000đ,8.290.000đ,Giảm 8%,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng,6.6 inches,8 GB,128 GB,7,5/5,"Chip Exynos 1380 - Sử dụng mượt mà, linh hoạt với các tác vụ nặng nề mà không gặp trở ngại. | Tần số quét 120Hz - Mỗi hành động trên màn hình đều trở nên mượt mà đáng kinh ngạc. | Với camera góc rộng 8MP mang đến khả năng thu trọn mọi khung cảnh vào khung hình. | Pin 5000 mAh kết hợp cùng sạc nhanh 25W - Sử dụng thoải mái trong mọi hoạt động hằng ngày."
Xiaomi 14 (12GB 256GB),19.990.000đ,22.990.000đ,Giảm 13%,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng,6.36 inches,12 GB,256 GB,16,5/5," Mạnh mẽ cân mọi tác vụ, đa nhiệm cực đỉnh - Chip Snapdragon 8 Gen 3 (4nm) mượt mà đi kèm RAM 12GB |  Trải nghiệm hình ảnh sống động - Màn hình 6.36” vừa vặn, công nghệ LTPO OLED, tần số quét 120Hz |  Tuyệt tác camera, chụp ảnh sắc nét - Bộ 3 camera 50MP ống kính Leica cùng chống rung OIS |  Năng lượng tràn đầy, thoả sức sức tạo - Dung lượng pin lớn 4610mAh, sạc nhanh 90W"
Điện thoại Nokia 8210 4G 128MB,1.570.000đ,1.590.000đ,Giảm 1%,,2.8 inches,128 MB,N/A,null,null," Nhỏ gọn, tinh tế đến từng chi tiết - Mặt lưng và khung máy được hoàn thiện từ nhựa Polycarbonate, có các màu sắc trẻ trung |  Màn hình hiển thị to rõ - Với kích thước 2.8"" cùng độ phân giải QVGA (240 x 320 pixels) đem lại chất lượng hiển thị rõ nét |  Kết nối cả ngày dài - Viên pin 1450 mAh, hỗ trợ 2 sim 2 sóng |  Lưu trữ lớn hơn - Hỗ trợ mở rộng bộ nhớ lên đến 32 GB"
Samsung Galaxy A25 5G 6GB 128GB,5.790.000đ,6.590.000đ,Giảm 12%,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng,6.5 inches,6 GB,128 GB,4,5/5," Rực rỡ mọi góc nhìn - Màn hình Super AMOLED với tần số quét 120Hz cho hình ảnh vượt trội |  Trở thanh nhiếp ảnh gia chuyên nghiệp - Camera 50MP, chống rung IOS ổn định mọi địa hình |  Pin tràn đầy, sạc trong tích tắc - Pin lớn 5000mAh cùng sạc nhanh 25W |  Xử lí tác vụ nhanh và ổn định - Chip Exynos 1280 8 nhân cùng RAM 6GB"
iPhone 12 128GB | Chính hãng VN/A ,13.190.000đ,17.990.000đ,Giảm 27%,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng,6.1 inches,4 GB,128 GB,28,5/5," Mạnh mẽ, siêu nhanh với chip A14, RAM 4GB, mạng 5G tốc độ cao |  Rực rỡ, sắc nét, độ sáng cao - Màn hình OLED cao cấp, Super Retina XDR hỗ trợ HDR10, Dolby Vision |  Chụp đêm ấn tượng - Night Mode cho 2 camera, thuật toán Deep Fusion, Smart HDR 3 |  Bền bỉ vượt trội - Kháng nước, kháng bụi IP68, mặt lưng Ceramic Shield"
Infinix Hot 40i 4GB 128GB,2.200.000đ,2.390.000đ,Giảm 8%,,6.56 inches,4 GB,128 GB,17,5/5,"Chipset Unisoc T606 - Hiệu suất xử lý ấn tượng, đa nhiệm mượt mà với thông số bộ nhớ ổn định. | RAM 4GB và bộ nhớ trong 128GB, đáp ứng các nhu cầu lưu trữ và xử lý linh hoạt của người dùng. | Quay chụp ổn định với hệ thống cam độ phân giải cao với camera chính 50MP và camera AI. | Với viên pin 5,000 mAh - Thoải mái sử dụng suốt cả ngày chỉ với 1 lần nạp pin."
Nokia 3210 4G ,1.590.000đ,N/A,N/A,,2.4 inches,128 MB,N/A,1,5/5,"Trải nghiệm internet tốc độ cao với kết nối 4G, cho phép bạn lướt web, xem video và tải xuống nhanh chóng. | Thiết kế cổ điển với bàn phím vật lý quen thuộc, mang đến cảm giác hoài niệm và dễ sử dụng. | Camera VGA: Cho phép bạn chụp ảnh và quay video đơn giản. | Màn hình màu 2.4 inch: Hiển thị rõ ràng, dễ đọc. | Vỏ ngoài bằng polycarbonate bền bỉ, chống va đập và trầy xước."
Samsung Galaxy S24 Ultra 12GB 512GB,31.490.000đ,37.490.000đ,Giảm 16%,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng,6.8 inches,12 GB,512 GB,2,5/5," Mở khoá giới hạn tiềm năng với AI - Hỗ trợ phiên dịch cuộc gọi, khoanh vùng tìm kiếm, Trợ lí Note và chình sửa anh |  Tuyệt tác thiết kế bền bỉ và hoàn hảo - Vỏ ngoài bằng titan mới cùng màu sắc lấy cảm hứng từ chất liệu đá tự nhiên |  Tích hợp S-Pen cực nhạy - Thoải mát viết, chạm thật chính xác trên màn hình cùng nhiều tính năng tiện ích |  Nắm trong tay trọn bộ chi tiết chân thực nhất - Camera 200MP hỗ trợ khả năng xử lý AI cải thiện độ nét và tông màu"
Samsung Galaxy S24 Ultra 12GB 1TB,33.490.000đ,44.490.000đ,Giảm 25%,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng,6.8 inches,12 GB,1 TB,3,5/5," Mở khoá giới hạn tiềm năng với AI - Hỗ trợ phiên dịch cuộc gọi, khoanh vùng tìm kiếm, Trợ lí Note và chình sửa anh |  Tuyệt tác thiết kế bền bỉ và hoàn hảo - Vỏ ngoài bằng titan mới cùng màu sắc lấy cảm hứng từ chất liệu đá tự nhiên |  Tích hợp S-Pen cực nhạy - Thoải mát viết, chạm thật chính xác trên màn hình cùng nhiều tính năng tiện ích |  Nắm trong tay trọn bộ chi tiết chân thực nhất - Camera 200MP hỗ trợ khả năng xử lý AI cải thiện độ nét và tông màu"
realme C67 (8GB 128GB),4.290.000đ,5.290.000đ,Giảm 19%,"Trả góp 0% lãi suất, không trả trước, không phụ phí qua Shinhan Finance",6.72 inches,8 GB,128 GB,3,5/5,"Tích hợp mở khóa vân tay cạnh viền, giúp người dùng trải nghiệm sự thuận tiện và an toàn. | Màn hình Full HD+ - Mang đến một trải nghiệm xem ảnh và video với chi tiết tuyệt vời. | Tần số quét 90 Hz mang lại trải nghiệm mượt mà, hạn chế hiện tượng giật lag. | Trang bị pin 5000mAh đi cùng sạc nhanh 33 W giúp bạn thoải mái sử dụng điện thoại suốt ngày dài."
realme C53 (8GB 256GB),3.850.000đ,4.790.000đ,Giảm 20%,"Trả góp 0% lãi suất, không trả trước, không phụ phí qua Shinhan Finance",6.74 inches,8GB + Mở rộng 8GB,256 GB,4,5/5,"Màn hình IPS LCD giúp chất lượng hiển thị tốt hơn và có khả năng tái tạo 16.7 triệu màu. | Hệ thống chụp hình được tối ưu sâu với camera AI 50MP với nhiều chế độ chụp hình phong phú. | Chip Tiger T612 với 2 lõi Cortex-A75 1,8GHz và 6 lõi Cortex A55 1.8GHz đảm bảo một hiệu năng ổn định và mang tới trải nghiệm giải trí trọn vẹn."
Samsung Galaxy S24 8GB 256GB,17.990.000đ,22.990.000đ,Giảm 22%,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng,6.2 inches,8 GB,256 GB,3,5/5," Khai phá tiềm năng sáng tạo không giới hạn với tính năng AI - Phiên dịch cuộc gọi, trợ lí chỉnh ảnh |  Sắc nét từng chi tiết - Camera 50MP với với công nghệ ProVisual, chụp đêm và siêu thu phóng |  Pin tối ưu thông minh cho cả ngày tràn đầy năng lượng - Viên pin 4000mAh cho phép bạn xem video liên tục đến 29 giờ |  Nâng cấp màn hình trải nghiệm tuyệt đỉnh - Màn hình 6.2"" inch Dynamic AMOLED 2X cùng tần số quét 120Hz"
iPhone 15 Pro Max 1TB | Chính hãng VN/A,42.690.000đ,46.990.000đ,Giảm 9%,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng,6.7 inches,8 GB,1 TB,2,5/5," Thiết kế khung viền từ titan chuẩn hàng không vũ trụ - Cực nhẹ, bền cùng viền cạnh mỏng cầm nắm thoải mái |  Hiệu năng Pro chiến game thả ga - Chip A17 Pro mang lại hiệu năng đồ họa vô cùng sống động và chân thực |  Thoả sức sáng tạo và quay phim chuyên nghiệp - Cụm 3 camera sau đến 48MP và nhiều chế độ tiên tiến |  Nút tác vụ mới giúp nhanh chóng kích hoạt tính năng yêu thích của bạn"
OPPO Reno11 F 5G (8GB 256GB),7.990.000đ,8.990.000đ,Giảm 11%,"Trả góp 0% lãi suất, không trả trước, không phụ phí qua Shinhan Finance",6.7 inches,8 GB,256 GB,5,5/5," Thoải mái sáng tạo nhiếp ảnh - Với cụm 3 camera lên đến 64MP đi kèm nhiều tính năng chỉnh sửa thú vị |  Rực rỡ mọi góc nhìn - Màn hình AMOLED 120Hz, cùng khả năng hiển thị trên 1 tỉ màu |  Giải trí mượt mà, đa dạng tác vụ - Chip xử lí mạnh mẽ Dimensity 7050 5G cùng RAM 8GB |  Năng lượng bền bỉ cả ngày dài - Pin lớn 5.000mAh cùng chế độ sạc nhanh 67W"
Samsung Galaxy S22 Ultra (12GB - 256GB) đã kích hoạt online - Chỉ có tại CellphoneS,18.990.000đ,33.990.000đ,Giảm 44%,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng,6.8 inches,12 GB,256 GB,18,5/5," Vi xử lý mạnh mẽ nhất Galaxy - Snapdragon 8 Gen 1 (4 nm) |  Camera mắt thần bóng đêm Nightography - Chụp đêm cực đỉnh |  S Pen đầu tiên trên Galaxy S - Độ trễ thấp, dễ thao tác |  Dung lượng pin bất chấp ngày đêm - Viên pin 5000mAh, sạc nhanh 45W"
realme C51 6GB 256GB,3.590.000đ,4.490.000đ,Giảm 20%,"Trả góp 0% lãi suất, không trả trước, không phụ phí qua Shinhan Finance",6.74 inches,6 GB,256 GB,null,null,"Hiệu năng mạnh mẽ, khả năng xử lý nhanh chóng nhờ vi xử lý Tiger Unisoc T612. | Thiết kế năng động, cá tính không kém phần thời thượng | Màn hình FullHD với kích thước 6.74 inch - Cho trải nghiệm hình ảnh sắc nét và chi tiết. | Năng lượng bất chấp ngày dài - Pin 5000mAh cùng sạc nhanh SUPERVOOC 33W."
Điện thoại Sony Xperia 1VI 12GB 256GB,31.090.000đ,32.990.000đ,Giảm 6%,Tặng Sạc dự phòng Baseus 10.000mAh và khác,6.5 inches,12 GB,256 GB,null,null,"Màn hình OLED, kích thước màn hình 6.5 inches cho trải nghiệm xem phim và chơi game đắm chìm hơn. | Bộ xử lý Snapdragon 8 Gen 3 Mobile Platform cho hiệu năng mạnh mẽ, xử lý mượt mà mọi tác vụ, kể cả những game nặng nhất. | Pin dung lượng lớn 5000mAh cho thời gian sử dụng lâu dài, đáp ứng nhu cầu sử dụng cả ngày dài của bạn. | Chịu nước IPX5/X8, chống bụi IP6X cho bạn yên tâm sử dụng trong mọi điều kiện thời tiết."
Samsung Galaxy A54 8GB 256GB,7.890.000đ,11.490.000đ,Giảm 31%,Không phí chuyển đổi khi trả góp 0% qua thẻ tín dụng kỳ hạn 3-6 tháng,6.4 inches,8 GB,256 GB,5,5/5,Màn hình 6.4 inch Full HD+ mang đến không gian trải nghiệm rộng rãi và sắc nét | Dung lượng pin 5.000 mAh cho thời lượng sử dụng lên đến cả ngày dài liên tục | Đa nhiệm mượt mà với vi xử lý Exynos 1380 kết hợp RAM 8GB và ROM 256GB | Bắt trọn từng khoảnh khắc với hệ thống 3 camera có độ phân giải lên đến 50 MP
