product_id,main_camera_mp (MP),wide_camera_mp (MP),tele_camera_mp (MP),macro_camera_mp (MP),wide_camera_aperture (f/),tele_camera_aperture (f/),macro_camera_aperture (f/)
59593,8.0,5.0,2.0,2.0,1.0,1.0,1.75
86448,8.0,5.0,2.0,2.0,1.0,1.0,1.75
79802,8.0,5.0,2.0,2.0,1.0,1.0,1.75
90114,48.0,12.0,2.0,2.0,1.0,1.0,1.75
83931,50.0,5.0,2.0,2.0,1.0,1.0,1.75
62088,8.0,5.0,2.0,2.0,1.0,1.0,1.75
90112,48.0,12.0,2.0,2.0,1.0,1.0,1.75
17018,8.0,5.0,2.0,2.0,1.0,1.0,1.75
59736,8.0,5.0,2.0,2.0,1.0,2.2,1.75
49374,64.0,5.0,2.0,2.0,1.0,1.0,1.75
79064,8.0,5.0,2.0,2.0,1.0,1.0,1.75
50676,8.0,5.0,2.0,2.0,1.79,1.0,2.4
85820,8.0,5.0,2.0,2.0,1.0,1.0,1.75
80254,8.0,5.0,2.0,2.0,1.0,1.0,1.75
90675,8.0,5.0,2.0,2.0,1.0,1.0,1.75
86542,8.0,5.0,2.0,2.0,1.0,1.0,1.75
52293,8.0,5.0,2.0,2.0,1.0,1.0,1.75
42974,8.0,5.0,2.0,2.0,2.2,1.0,1.75
90119,48.0,48.0,12.0,2.0,1.6,1.0,1.75
44939,64.0,5.0,2.0,2.0,1.0,1.0,1.75
91339,8.0,5.0,2.0,2.0,1.0,1.0,1.75
28517,8.0,5.0,2.0,2.0,1.0,1.0,1.75
64828,8.0,5.0,2.0,2.0,1.0,1.0,1.75
90120,48.0,48.0,12.0,2.0,1.6,1.0,1.75
63898,8.0,5.0,2.0,2.0,1.0,1.0,1.75
53189,8.0,5.0,2.0,2.0,1.0,1.0,1.75
90676,8.0,5.0,2.0,2.0,1.0,1.0,1.75
39195,8.0,50.0,2.0,2.0,1.0,1.0,1.75
72735,8.0,5.0,2.0,2.0,1.0,1.0,1.75
64066,8.0,5.0,2.0,2.0,1.0,1.0,1.75
48952,8.0,5.0,2.0,2.0,1.0,1.0,1.75
82236,8.0,5.0,2.0,2.0,1.0,1.0,1.75
79801,8.0,5.0,2.0,2.0,1.0,1.0,1.75
90113,48.0,12.0,2.0,2.0,1.0,1.0,1.75
54484,8.0,5.0,2.0,2.0,1.0,1.0,1.75
36639,64.0,8.0,5.0,2.0,1.0,2.2,1.75
79219,8.0,5.0,2.0,2.0,1.0,1.0,1.75
50751,8.0,5.0,2.0,2.0,1.0,1.0,2.2
74096,13.0,5.0,2.0,2.0,1.0,1.0,1.75
