product_id,camera_video
84613,"UHD 8K (7680 x 4320)@30fps240fps @FHD, 120fps @FHD, 120fps @UHD"
51999,"4K@24/25/30/60fps, 1080p@25/30/60/120/240fps, 10-bit HDR, Dolby Vision HDR (60fps), Chế độ ProRes, Chế độ Cinematic (4K@30fps)"
74864,"1080p @ 30fps, 720p @ 30fps, 480p @ 30fps"
65137,N/A
72330,N/A
91445,N/A
89225,1080p@30fps
73650,1080P 1920x1080 30fps720P 1280x720 30fps
83040,"4K@30fps, 1080p@30/60/120fps, gyro-EIS, OIS"
74179,1080P/30fps720P/30fps480P/30fps
39411,4K 3840x2160 ở tốc độ 30fps1080p 1920x1080 ở tốc độ 60fps1080p 1920x1080 ở tốc độ 30fps720p 1280x720 ở tốc độ 30fps
62717,"HD 720p@30fps, FullHD 1080p@30fps"
86449,N/A
58610,4K 2160p@30fpsFull HD 1080P@60fps/30fps/120fps/480fpsHD 720P@60fps/30fps/240fps/960fps
35033,4K 3840x2160 ở tốc độ 30fps1080p 1920x1080 ở tốc độ 60fps1080p 1920x1080 ở tốc độ 30fps720p 1280x720 ở tốc độ 30fps
67726,N/A
61508,"1080p@30fps, 720p@30fps"
79120,1080p @ 30fps720p @ 30fps480p @ 30fps
78051,N/A
87123,"1080p@30fps, gyro-EIS"
90117,"4K@24 fps, 4K@25 fps, 4K@30 fps, 4K@60 fps, 4K@100 fps, 4K@120 fps1080p@25fps, 1080p@30 fps, 1080p@60 fps hoặc 1080p@120 fps720p@30 fps"
82889,"1440p @ 30 fps, 1080p @ 30/60 fps"
77301,1080p@30fps720p@30fps
73771,N/A
90115,"4K@24 fps4K@25 fps4K@30 fps4K@60 fps1080p@25fps, 1080p@30 fps, hoặc 1080p@60 fps"
59734,HD 720p@30fpsFullHD 1080p@60fpsFullHD 1080p@30fps4K 2160p@30fps4K 2160p@60fpsHD 720p@240fpsFullHD 1080p@240fpsHD 720p@60fpsHD 720p@480fps
29796,"4K@30fps, 1080p@30/60/120fps; Chống rung điện tử EIS"
