product_id,megapixels (MP),wide_camera_mp (f/)
64264,13.0,2.5
81359,8.0,1.8
77855,5.0,2.2
70735,16.0,1.8
60343,16.0,1.8
64834,32.0,2.4
59296,13.0,2.4
55071,8.0,2.2
85458,32.0,1.8
56074,16.0,1.8
74388,5.0,1.8
42972,10.0,2.2
57708,5.0,2.2
28025,10.0,2.2
62014,16.0,2.5
84472,50.0,1.8
60619,32.0,1.8
60344,16.0,2.45
78903,13.0,2.0
75800,0.0,2.45
38621,32.0,1.8
50200,16.0,1.8
36493,12.0,2.2
83340,50.0,1.8
48337,5.0,2.2
66931,8.0,2.0
57498,12.0,2.2
12436,7.0,1.8
54445,16.0,2.5
61834,5.0,1.8
84477,50.0,1.8
77856,50.0,2.0
55068,8.0,2.2
59598,16.0,2.5
66377,5.0,1.8
36501,12.0,2.2
62012,32.0,2.5
55930,16.0,1.8
89099,8.0,1.8
64073,16.0,1.8
77505,12.0,1.8
51983,12.0,1.9
73393,32.0,2.0
89224,0.0,2.4
79117,16.0,1.8
48949,10.0,1.8
57253,16.0,2.45
72207,13.0,2.4
58609,20.0,1.8
55511,8.0,2.0
72113,5.0,1.8
56134,6.0,2.3
66929,8.0,2.0
82061,8.0,1.8
50258,16.0,1.8
54285,32.0,2.4
58498,16.0,2.45
63276,16.0,2.45
61801,12.0,1.8
78379,8.0,1.8
87124,13.0,1.8
55763,32.0,1.8
83038,32.0,1.8
63450,8.0,1.8
89107,8.0,1.8
49114,44.0,1.8
73551,32.0,1.8
72114,8.0,2.0
49112,13.0,2.0
53443,8.0,2.0
71548,24.0,1.8
53192,32.0,1.8
82060,16.0,1.8
73017,16.0,1.8
35897,10.0,2.4
54449,13.0,1.8
81357,8.0,1.8
66932,8.0,2.0
49260,5.0,1.8
85242,16.0,1.8
62208,13.0,2.4
86565,5.0,2.2
55509,1.0,2.2
64268,16.0,1.8
63188,16.0,1.8
59589,8.0,2.0
64327,16.0,2.0
72198,16.0,2.5
46376,16.0,2.5
87082,13.0,1.8
60677,32.0,1.8
25663,20.0,2.3
55079,13.0,2.4
62305,5.0,2.0
26380,20.0,2.2
27852,16.0,2.0
72199,20.0,1.8
81322,8.0,1.8
66376,32.0,1.8
53774,32.0,2.5
55933,50.0,2.5
55756,16.0,2.4
73955,5.0,1.8
67045,16.0,2.5
55514,8.0,2.0
82273,13.0,1.8
72221,5.0,2.2
51346,8.0,1.8
61506,16.0,2.45
84534,50.0,1.8
62019,8.0,2.2
60319,5.0,1.8
31468,16.0,2.5
84461,16.0,1.8
63451,8.0,2.0
74090,16.0,1.8
75776,0.0,1.8
63187,16.0,1.8
73552,13.0,1.8
51223,5.0,2.2
49969,16.0,2.1
60622,32.0,1.8
50771,16.0,1.8
62013,32.0,2.5
54438,5.0,1.8
55082,32.0,2.5
66360,16.0,1.8
64064,50.0,2.4
50678,16.0,2.5
84463,8.0,1.8
60625,16.0,2.4
60755,16.0,2.0
72502,32.0,1.8
59252,5.0,1.8
53437,16.0,2.0
67547,8.0,1.8
55512,8.0,2.0
64836,8.0,1.8
46949,8.0,2.0
67366,16.0,1.8
