product_id,megapixels (MP),secondary_megapixels (MP),wide_camera_mp (f/),macro_camera_mp (radian)
67360,5,N/A,2.2,N/A
53791,5,N/A,N/A,N/A
54940,10,N/A,2.2,N/A
76434,32,N/A,2.0,N/A
62042,5,N/A,N/A,N/A
62042,5,N/A,N/A,N/A
32201,32,N/A,N/A,N/A
55075,N/A,N/A,N/A,N/A
12655,N/A,N/A,N/A,N/A
85268,N/A,N/A,N/A,N/A
85282,N/A,N/A,N/A,N/A
59251,5,N/A,N/A,N/A
55534,8,N/A,2.0,N/A
55078,N/A,N/A,N/A,N/A
59291,5,N/A,2.4,N/A
60681,2,N/A,N/A,N/A
46377,44,N/A,N/A,N/A
50201,5,N/A,N/A,N/A
51798,16,N/A,2.0,N/A
62344,N/A,N/A,N/A,N/A
62411,5,N/A,N/A,N/A
62867,16,N/A,N/A,N/A
63072,16,N/A,N/A,N/A
50226,32,N/A,N/A,N/A
64068,16,N/A,2.0,N/A
63755,8,N/A,N/A,N/A
63071,16,N/A,N/A,N/A
52301,8,N/A,2.2,N/A
54813,N/A,N/A,N/A,N/A
63069,N/A,N/A,N/A,N/A
51343,N/A,N/A,N/A,N/A
40415,N/A,N/A,N/A,N/A
63446,8,N/A,2.0,N/A
89507,N/A,N/A,N/A,N/A
76431,32,N/A,N/A,N/A
91270,N/A,N/A,N/A,N/A
91269,N/A,N/A,N/A,N/A
76442,N/A,N/A,N/A,N/A
67958,20,N/A,2.0,N/A
62414,8,N/A,2.0,N/A
63074,8,N/A,2.0,N/A
59599,5,N/A,N/A,N/A
63447,8,N/A,N/A,N/A
73018,32,N/A,N/A,N/A
72208,32,N/A,2.45,N/A
73018,32,N/A,N/A,N/A
72208,32,N/A,2.45,N/A
87090,13,N/A,N/A,N/A
84111,N/A,N/A,N/A,N/A
76430,32,N/A,N/A,N/A
66368,5,N/A,N/A,N/A
59283,16,N/A,2.5,N/A
62363,5,N/A,N/A,N/A
64067,16,N/A,2.5,N/A
60696,N/A,N/A,N/A,N/A
67729,24,N/A,2.0,N/A
67961,24,N/A,2.0,N/A
76435,32,N/A,2.0,N/A
63750,32,N/A,2.4,89
63758,8,N/A,2.0,N/A
84346,5,N/A,N/A,N/A
56154,N/A,N/A,N/A,N/A
55073,N/A,N/A,N/A,N/A
81324,8,N/A,N/A,N/A
84110,N/A,N/A,N/A,N/A
46952,16,N/A,2.2,N/A
52295,13,N/A,2.4,N/A
60756,16,N/A,2.4,N/A
60923,13,N/A,N/A,N/A
72442,12,N/A,2.0,N/A
62353,N/A,N/A,N/A,N/A
62375,5,N/A,N/A,N/A
62413,N/A,N/A,N/A,N/A
52484,8,N/A,2.0,N/A
22013,N/A,N/A,N/A,N/A
73392,8,N/A,2.0,N/A
64472,16,N/A,N/A,N/A
55690,N/A,N/A,N/A,N/A
84341,16,N/A,N/A,N/A
53775,N/A,N/A,N/A,N/A
54942,N/A,N/A,N/A,N/A
50698,N/A,N/A,N/A,N/A
88458,16,N/A,2.4,N/A
30838,5,N/A,N/A,N/A
59249,8,N/A,2.0,N/A
54271,16,N/A,2.5,N/A
54671,16,N/A,N/A,N/A
60346,48,N/A,N/A,N/A
46953,50,N/A,2.0,N/A
49699,2,N/A,N/A,N/A
51355,N/A,N/A,N/A,N/A
62032,5,N/A,2.2,N/A
62038,16,N/A,2.45,N/A
62379,0,N/A,N/A,N/A
62381,2,N/A,N/A,N/A
62878,N/A,N/A,N/A,N/A
62518,N/A,N/A,N/A,N/A
67727,8,N/A,1.8,N/A
51790,13,N/A,2,N/A
22005,8,N/A,N/A,N/A
67725,16,N/A,N/A,N/A
62372,5,N/A,N/A,N/A
31022,N/A,N/A,N/A,N/A
55767,5,N/A,N/A,N/A
62322,N/A,N/A,N/A,N/A
55689,N/A,N/A,N/A,N/A
63073,32,N/A,N/A,N/A
64061,50,N/A,2.0,N/A
77349,32,N/A,N/A,N/A
85290,N/A,N/A,N/A,N/A
85274,N/A,N/A,N/A,N/A
24253,N/A,N/A,N/A,N/A
52302,16,N/A,2.0,N/A
52481,8,N/A,2.0,N/A
73395,8,N/A,1.8,N/A
55758,16,N/A,2.5,N/A
55934,5,N/A,2.2,N/A
51347,N/A,N/A,N/A,N/A
62310,8,N/A,2.0,N/A
63452,8,N/A,2.0,N/A
84466,5,N/A,2.2,N/A
61505,N/A,N/A,N/A,N/A
64062,N/A,N/A,N/A,N/A
84343,5,N/A,N/A,N/A
85280,N/A,N/A,N/A,N/A
85261,N/A,N/A,N/A,N/A
79100,8,N/A,N/A,N/A
76432,32,N/A,N/A,N/A
76436,32,N/A,N/A,N/A
63940,10,4,2.2,N/A
67724,8,N/A,N/A,N/A
29067,N/A,N/A,N/A,N/A
29106,N/A,N/A,N/A,N/A
29363,N/A,N/A,N/A,N/A
29371,N/A,N/A,N/A,N/A
29468,N/A,N/A,N/A,N/A
29502,N/A,N/A,N/A,N/A
28452,N/A,N/A,N/A,N/A
28519,N/A,N/A,N/A,N/A
28752,N/A,N/A,N/A,N/A
28763,N/A,N/A,N/A,N/A
28887,N/A,N/A,N/A,N/A
28895,N/A,N/A,N/A,N/A
28897,N/A,N/A,N/A,N/A
28973,N/A,N/A,N/A,N/A
29063,N/A,N/A,N/A,N/A
46929,5,N/A,N/A,N/A
46950,8,N/A,2.0,N/A
46974,N/A,N/A,N/A,N/A
48303,16,N/A,2.0,N/A
48346,7,N/A,N/A,N/A
48358,64,N/A,N/A,N/A
48574,32,N/A,N/A,N/A
45900,16,N/A,N/A,N/A
46351,N/A,N/A,N/A,N/A
29067,N/A,N/A,N/A,N/A
29106,N/A,N/A,N/A,N/A
29363,N/A,N/A,N/A,N/A
29371,N/A,N/A,N/A,N/A
29502,N/A,N/A,N/A,N/A
28452,N/A,N/A,N/A,N/A
28519,N/A,N/A,N/A,N/A
28763,N/A,N/A,N/A,N/A
51366,N/A,N/A,N/A,N/A
51372,N/A,N/A,N/A,N/A
52106,8,N/A,2.0,N/A
36667,N/A,N/A,N/A,N/A
36834,8,N/A,N/A,N/A
36920,16,N/A,2.4,N/A
36928,N/A,N/A,N/A,N/A
37256,N/A,N/A,N/A,N/A
37265,5,N/A,2.2,N/A
37865,N/A,N/A,N/A,N/A
37882,N/A,N/A,N/A,N/A
37898,16,N/A,N/A,N/A
37902,16,N/A,N/A,N/A
38612,16,N/A,2.4,N/A
39190,N/A,N/A,N/A,N/A
39192,32,N/A,2.5,N/A
39203,N/A,N/A,N/A,N/A
39758,8,N/A,N/A,N/A
40406,16,N/A,2.4,N/A
40425,32,N/A,N/A,N/A
42020,N/A,N/A,N/A,N/A
34235,N/A,N/A,N/A,N/A
45224,16,N/A,N/A,N/A
45454,16,N/A,2.2,N/A
45900,16,N/A,N/A,N/A
46351,N/A,N/A,N/A,N/A
35942,N/A,N/A,N/A,N/A
35966,8,N/A,2.0,N/A
36280,N/A,N/A,N/A,N/A
36290,32,N/A,N/A,N/A
36603,16,N/A,2.5,N/A
36613,16,N/A,N/A,N/A
32368,16,N/A,N/A,N/A
34883,5,N/A,N/A,N/A
34885,16,N/A,2.1,N/A
35132,N/A,N/A,N/A,N/A
33755,8,N/A,2.0,N/A
34223,N/A,N/A,N/A,N/A
34230,16,N/A,2.45,N/A
34235,N/A,N/A,N/A,N/A
32665,20,N/A,2.5,N/A
33217,N/A,N/A,N/A,N/A
50199,16,N/A,2.5,N/A
