product_id,video_resolution_1 (pixels),video_fps_1 (fps),video_resolution_2 (pixels),video_fps_1 (fps),video_resolution_3 (pixels),video_fps_1 (fps)
38621,2073600.0,60,8294400.0,30,8294400.0,30
50200,33177600.0,24,2073600.0,960,N/A,N/A
83340,N/A,N/A,N/A,N/A,N/A,N/A
48337,2073600.0,30,N/A,N/A,N/A,N/A
66931,N/A,30,N/A,N/A,N/A,N/A
12436,N/A,30,2073600.0,120,N/A,N/A
61834,N/A,30,N/A,N/A,N/A,N/A
84477,N/A,N/A,N/A,N/A,N/A,N/A
72210,N/A,N/A,N/A,N/A,N/A,N/A
77856,N/A,N/A,N/A,N/A,N/A,N/A
55068,8294400.0,60,N/A,N/A,N/A,N/A
72201,N/A,N/A,N/A,N/A,N/A,N/A
59598,8294400.0,60 ,921600.0,60 ,N/A,N/A
66377,N/A,N/A,N/A,N/A,N/A,N/A
36501,8294400.0,60,921600.0,30,N/A,N/A
62012,33177600.0,N/A,2073600.0,N/A,N/A,N/A
55930,33177600.0,24,2073600.0,960,N/A,N/A
89099,921600.0,120,N/A,N/A,N/A,N/A
64073,N/A,N/A,N/A,N/A,N/A,N/A
77505,33177600.0,30,2073600.0,60,N/A,N/A
51983,8294400.0,24,921600.0,30,N/A,24
35084,N/A,N/A,N/A,N/A,N/A,N/A
73393,33177600.0,N/A,2073600.0,N/A,N/A,N/A
89224,33177600.0,30,N/A,120,N/A,N/A
79117,2073600.0,30,N/A,N/A,N/A,N/A
48949,33177600.0,24,N/A,N/A,N/A,N/A
57253,8294400.0,60,N/A,N/A,N/A,N/A
72207,8294400.0,60,921600.0,960,N/A,N/A
58609,N/A,N/A,N/A,N/A,N/A,N/A
55511,8294400.0,60,N/A,N/A,N/A,N/A
72113,N/A,N/A,N/A,N/A,N/A,N/A
56134,N/A,N/A,N/A,N/A,N/A,N/A
88563,N/A,N/A,N/A,N/A,N/A,N/A
88452,N/A,N/A,N/A,N/A,N/A,N/A
66929,N/A,30,N/A,N/A,N/A,N/A
78048,N/A,N/A,N/A,N/A,N/A,N/A
82061,921600.0,30,N/A,N/A,N/A,N/A
50258,8294400.0,60,2073600.0,960,N/A,N/A
83341,N/A,N/A,N/A,N/A,N/A,N/A
54285,8294400.0,60,N/A,N/A,N/A,N/A
63276,8294400.0,30,N/A,N/A,N/A,N/A
61801,8294400.0,60,N/A,N/A,N/A,N/A
78379,921600.0,30,N/A,N/A,N/A,N/A
87124,921600.0,30,N/A,N/A,N/A,N/A
49629,8294400.0,30,N/A,N/A,N/A,N/A
55763,921600.0,120,N/A,N/A,N/A,N/A
83038,N/A,N/A,N/A,N/A,N/A,N/A
63450,N/A,N/A,N/A,N/A,N/A,N/A
89107,N/A,30,2073600.0,30,N/A,N/A
49114,N/A,N/A,N/A,N/A,N/A,N/A
73551,N/A,N/A,N/A,N/A,N/A,N/A
72114,N/A,30,N/A,N/A,N/A,N/A
49112,2073600.0,30,N/A,N/A,N/A,N/A
53443,2073600.0,30,N/A,N/A,N/A,N/A
71548,N/A,N/A,N/A,N/A,N/A,N/A
53192,N/A,N/A,N/A,N/A,N/A,N/A
82060,2073600.0,30,N/A,N/A,N/A,N/A
73017,921600.0,30,N/A,N/A,N/A,N/A
35897,8294400.0,60 ,921600.0,30,N/A,N/A
90480,N/A,N/A,N/A,N/A,N/A,N/A
54449,N/A,N/A,N/A,N/A,N/A,N/A
66932,N/A,30,N/A,N/A,N/A,N/A
81357,N/A,N/A,N/A,N/A,N/A,N/A
49260,2073600.0,30,N/A,N/A,N/A,N/A
28959,N/A,N/A,N/A,N/A,N/A,N/A
85242,N/A,N/A,N/A,N/A,N/A,N/A
62208,2073600.0,30,N/A,N/A,N/A,N/A
86565,N/A,30 ,N/A,N/A,N/A,N/A
55509,8294400.0,60,N/A,N/A,N/A,N/A
64268,8294400.0,30,N/A,N/A,N/A,N/A
85458,N/A,N/A,N/A,N/A,N/A,N/A
63188,8294400.0,30,N/A,N/A,N/A,N/A
59589,8294400.0,30,N/A,N/A,N/A,N/A
64327,N/A,30,N/A,N/A,N/A,N/A
72198,33177600.0,24,2073600.0,960,N/A,N/A
46376,33177600.0,30,2073600.0,60,N/A,N/A
65917,N/A,N/A,N/A,N/A,N/A,N/A
85279,N/A,N/A,N/A,N/A,N/A,N/A
87082,921600.0,30,N/A,N/A,N/A,N/A
60677,N/A,N/A,N/A,N/A,N/A,N/A
25663,2073600.0,30,33177600.0,24,2073600.0,960
55079,8294400.0,60,2073600.0,960,N/A,N/A
62305,2073600.0,30,N/A,N/A,N/A,N/A
26380,33177600.0,30,2073600.0,960,N/A,N/A
27852,8294400.0,30,N/A,N/A,N/A,N/A
72199,8294400.0,30,921600.0,960,N/A,N/A
81322,921600.0,30,N/A,N/A,N/A,N/A
66376,N/A,N/A,N/A,N/A,N/A,N/A
53774,33177600.0,24,2073600.0,60,N/A,N/A
55933,8294400.0,30,N/A,N/A,N/A,N/A
55756,8294400.0,30,921600.0,960,N/A,N/A
85263,N/A,N/A,N/A,N/A,N/A,N/A
73955,2073600.0,30,N/A,N/A,N/A,N/A
67045,8294400.0,60,N/A,N/A,N/A,N/A
55514,8294400.0,60,N/A,N/A,N/A,N/A
82273,2073600.0,30,N/A,N/A,N/A,N/A
72221,N/A,N/A,N/A,N/A,N/A,N/A
51346,N/A,N/A,N/A,N/A,N/A,N/A
61506,33177600.0,30,2073600.0,60,N/A,N/A
28759,N/A,N/A,N/A,N/A,N/A,N/A
84534,N/A,N/A,N/A,N/A,N/A,N/A
62019,2073600.0,30,N/A,N/A,N/A,N/A
60319,N/A,N/A,N/A,N/A,N/A,N/A
31468,8294400.0,60,N/A,N/A,N/A,N/A
84461,N/A,N/A,N/A,N/A,N/A,N/A
63451,8294400.0,60,N/A,N/A,N/A,N/A
74090,2073600.0,30,N/A,N/A,N/A,N/A
75776,N/A,N/A,N/A,N/A,N/A,N/A
63187,8294400.0,30,N/A,N/A,N/A,N/A
73552,N/A,N/A,N/A,N/A,N/A,N/A
60342,N/A,N/A,N/A,N/A,N/A,N/A
51223,2073600.0,30,N/A,N/A,N/A,N/A
54455,2073600.0,30,N/A,N/A,N/A,N/A
49969,N/A,30,N/A,120,N/A,N/A
60622,N/A,N/A,N/A,N/A,N/A,N/A
50771,33177600.0,30,2073600.0,240,N/A,N/A
62013,33177600.0,N/A,2073600.0,N/A,N/A,N/A
54438,2073600.0,30,N/A,N/A,N/A,N/A
55082,33177600.0,30,2073600.0,60,N/A,N/A
66360,N/A,N/A,N/A,N/A,N/A,N/A
64064,8294400.0,30,N/A,N/A,N/A,N/A
50678,33177600.0,30,2073600.0,60,N/A,N/A
84463,N/A,N/A,N/A,N/A,N/A,N/A
60625,8294400.0,60,N/A,N/A,N/A,N/A
60755,2073600.0,30,N/A,N/A,N/A,N/A
72502,8294400.0,30,2073600.0,30,N/A,N/A
59252,N/A,N/A,N/A,N/A,N/A,N/A
53437,2073600.0,30,N/A,N/A,N/A,N/A
64072,N/A,N/A,N/A,N/A,N/A,N/A
67547,2073600.0,30,N/A,N/A,N/A,N/A
55512,8294400.0,30,2073600.0,30,N/A,N/A
60694,N/A,N/A,N/A,N/A,N/A,N/A
64836,N/A,N/A,N/A,N/A,N/A,N/A
59597,N/A,N/A,N/A,N/A,N/A,N/A
46949,2073600.0,30,N/A,N/A,N/A,N/A
67366,N/A,N/A,N/A,N/A,N/A,N/A
63900,8294400.0,30,N/A,N/A,N/A,N/A
35922,8294400.0,30,921600.0,960,N/A,N/A
60695,N/A,N/A,N/A,N/A,N/A,N/A
64269,8294400.0,60,N/A,N/A,N/A,N/A
28988,8294400.0,60,921600.0,960,N/A,N/A
67369,N/A,N/A,N/A,N/A,N/A,N/A
72501,8294400.0,30,2073600.0,30,N/A,N/A
60165,8294400.0,60,N/A,N/A,N/A,N/A
72216,8294400.0,60,N/A,N/A,N/A,N/A
74344,N/A,N/A,N/A,N/A,N/A,N/A
53272,N/A,N/A,N/A,N/A,N/A,N/A
67731,N/A,N/A,N/A,N/A,N/A,N/A
53276,8294400.0,60,N/A,N/A,N/A,N/A
62345,N/A,N/A,N/A,N/A,N/A,N/A
72192,N/A,N/A,N/A,N/A,N/A,N/A
52711,N/A,N/A,N/A,N/A,N/A,N/A
66362,N/A,N/A,N/A,N/A,N/A,N/A
63453,N/A,30,2073600.0,120,N/A,N/A
55513,8294400.0,30,2073600.0,30,N/A,N/A
78042,N/A,N/A,N/A,N/A,N/A,N/A
49581,2073600.0,30,N/A,N/A,N/A,N/A
63070,N/A,N/A,N/A,N/A,N/A,N/A
62323,N/A,N/A,N/A,N/A,N/A,N/A
59052,2073600.0,30,N/A,N/A,N/A,N/A
62089,N/A,N/A,N/A,N/A,N/A,N/A
62040,N/A,N/A,N/A,N/A,N/A,N/A
60679,8294400.0,30,921600.0,960,N/A,N/A
74345,N/A,N/A,N/A,N/A,N/A,N/A
67356,N/A,N/A,N/A,N/A,N/A,N/A
63454,2073600.0,30,N/A,N/A,N/A,N/A
52303,N/A,N/A,N/A,N/A,N/A,N/A
85457,N/A,N/A,N/A,N/A,N/A,N/A
72190,8294400.0,960,921600.0,N/A,N/A,N/A
56070,N/A,N/A,N/A,N/A,N/A,N/A
17861,921600.0,30,8294400.0,30,N/A,N/A
72225,2073600.0,30,N/A,N/A,N/A,N/A
81356,N/A,N/A,N/A,N/A,N/A,N/A
55531,8294400.0,30,921600.0,240,N/A,N/A
55691,8294400.0,30,921600.0,960,N/A,N/A
56135,N/A,N/A,N/A,N/A,N/A,N/A
77854,8294400.0,30,N/A,N/A,N/A,N/A
66254,N/A,N/A,N/A,N/A,N/A,N/A
31299,33177600.0,30,2073600.0,240,N/A,N/A
66241,N/A,N/A,N/A,N/A,N/A,N/A
81109,N/A,N/A,N/A,N/A,N/A,N/A
76433,33177600.0,24,2073600.0,960,N/A,N/A
51784,33177600.0,30,2073600.0,240,N/A,N/A
55519,8294400.0,30,N/A,N/A,N/A,N/A
51784,33177600.0,30,2073600.0,240,N/A,N/A
85267,N/A,N/A,N/A,N/A,N/A,N/A
30767,33177600.0,30,2073600.0,960,N/A,N/A
55529,8294400.0,30,921600.0,240,N/A,N/A
55522,8294400.0,30,2073600.0,30,N/A,N/A
50260,N/A,N/A,N/A,N/A,N/A,N/A
62301,N/A,N/A,N/A,N/A,N/A,N/A
56132,2073600.0,30,N/A,N/A,N/A,N/A
64075,N/A,N/A,N/A,N/A,N/A,N/A
67044,N/A,N/A,N/A,N/A,N/A,N/A
59250,2073600.0,30,N/A,N/A,N/A,N/A
52473,N/A,N/A,N/A,N/A,N/A,N/A
50842,N/A,N/A,N/A,N/A,N/A,N/A
64468,N/A,N/A,N/A,N/A,N/A,N/A
66375,N/A,N/A,N/A,N/A,N/A,N/A
84535,N/A,N/A,N/A,N/A,N/A,N/A
66246,2073600.0,30,N/A,N/A,N/A,N/A
55532,8294400.0,60,N/A,N/A,N/A,N/A
55760,8294400.0,N/A,N/A,N/A,N/A,N/A
72116,2073600.0,30,N/A,N/A,N/A,N/A
62035,8294400.0,30,921600.0,960,N/A,N/A
67043,N/A,N/A,N/A,N/A,N/A,N/A
64469,N/A,N/A,N/A,N/A,N/A,N/A
39979,33177600.0,30,2073600.0,240,N/A,N/A
25889,2073600.0,30,2073600.0,120,N/A,N/A
55937,N/A,N/A,N/A,N/A,N/A,N/A
14119,N/A,30,921600.0,480,N/A,N/A
54451,N/A,N/A,N/A,N/A,N/A,N/A
79116,2073600.0,30,N/A,N/A,N/A,N/A
50203,33177600.0,30,2073600.0,60,N/A,N/A
54287,2073600.0,30,N/A,N/A,N/A,N/A
50696,N/A,N/A,N/A,N/A,N/A,N/A
54277,8294400.0,960,921600.0,N/A,N/A,N/A
54962,8294400.0,30,921600.0,960,N/A,N/A
64076,8294400.0,30,N/A,N/A,N/A,N/A
67959,2073600.0,30,N/A,N/A,N/A,N/A
78905,2073600.0,30,N/A,N/A,N/A,N/A
51789,N/A,N/A,N/A,N/A,N/A,N/A
64074,2073600.0,30,N/A,N/A,N/A,N/A
85235,N/A,N/A,N/A,N/A,N/A,N/A
85235,N/A,N/A,N/A,N/A,N/A,N/A
49970,33177600.0,120,2073600.0,N/A,N/A,N/A
69536,N/A,30,N/A,60,N/A,60
67549,8294400.0,30,N/A,N/A,N/A,N/A
54278,8294400.0,960,921600.0,N/A,N/A,N/A
54670,N/A,N/A,N/A,N/A,N/A,N/A
46948,8294400.0,60,921600.0,960,N/A,N/A
35117,N/A,N/A,N/A,N/A,N/A,N/A
79124,2073600.0,30,N/A,N/A,N/A,N/A
88457,N/A,N/A,N/A,N/A,N/A,N/A
84532,N/A,N/A,N/A,N/A,N/A,N/A
55508,2073600.0,30,N/A,N/A,N/A,N/A
